
  _elev,_surf |   ailrn,_surf |   ruddr,_surf |   nwhel,steer |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag | 
     -1.00000 |       1.00000 |       0.01705 |       0.00000 |      18.22211 |     -25.76697 |     214.11678 |     202.78128 | 
     -1.00000 |       1.00000 |       0.01945 |       0.00000 |      16.93996 |     -22.69545 |     214.11806 |     202.78256 | 
     -1.00000 |       1.00000 |       0.01945 |       0.00000 |      14.55272 |     -18.60274 |     214.40091 |     203.06541 | 
     -1.00000 |       1.00000 |       0.01696 |       0.00000 |      11.59968 |     -14.32849 |     214.73251 |     203.39702 | 
     -1.00000 |       1.00000 |       0.01323 |       0.00000 |       9.44656 |      -9.93279 |     215.00642 |     203.67093 |
     -1.00000 |       1.00000 |       0.00936 |       0.00000 |       7.46098 |      -5.49338 |     215.17233 |     203.83684 |
     -0.97411 |       0.56894 |       0.00613 |       0.00000 |       5.80043 |      -1.51141 |     215.23885 |     203.90335 |
     -0.85011 |       0.20719 |       0.00560 |       0.00000 |       4.44243 |       0.09435 |     215.21996 |     203.88446 |
     -0.72182 |       0.11041 |       0.00801 |       0.00000 |       3.07885 |       0.23526 |     215.09918 |     203.76369 |
     -0.63779 |       0.05650 |       0.01146 |       0.00000 |       2.57645 |       1.43642 |     214.87421 |     203.53871 |
     -0.55616 |       0.05791 |       0.01415 |       0.00000 |       1.31423 |       1.63025 |     214.55408 |     203.21858 |
     -0.50082 |       0.03808 |       0.01541 |       0.00000 |       0.77847 |       1.94807 |     214.16360 |     202.82811 |
     -0.48602 |       0.01369 |       0.01539 |       0.00000 |      -0.39890 |       1.72537 |     213.77321 |     202.43771 |
     -0.46655 |       0.00525 |       0.01441 |       0.00000 |      -0.43481 |       1.56207 |     213.37189 |     202.03641 |
     -0.44503 |       0.01602 |       0.01269 |       0.00000 |      -0.63154 |       1.46977 |     213.01772 |     201.68222 | 
     -0.39837 |       0.02067 |       0.01046 |       0.00000 |      -1.14741 |       1.42993 |     212.74335 |     201.40787 | 
     -0.34025 |       0.02183 |       0.00797 |       0.00000 |      -1.69627 |       1.41775 |     212.56633 |     201.23085 | 
     -0.29163 |       0.02081 |       0.00546 |       0.00000 |      -2.13678 |       1.41790 |     212.49371 |     201.15823 | 
     -0.26376 |       0.01885 |       0.00319 |       0.00000 |      -2.39506 |       1.42231 |     212.52245 |     201.18697 | 
     -0.25598 |       0.01657 |       0.00135 |       0.00000 |      -2.48967 |       1.42774 |     212.63870 |     201.30322 | 
     -0.25956 |       0.01417 |       0.00006 |       0.00000 |      -2.48104 |       1.43390 |     212.81847 |     201.48299 | 
     -0.26580 |       0.01196 |      -0.00059 |       0.00000 |      -2.44404 |       1.44051 |     213.01991 |     201.68443 | 
     -0.27035 |       0.00931 |      -0.00071 |       0.00000 |      -2.42198 |       1.44934 |     213.26021 |     201.92473 | 
     -0.26959 |       0.00673 |      -0.00030 |       0.00000 |      -2.44344 |       1.45606 |     213.48056 |     202.14508 | 
     -0.26412 |       0.00455 |       0.00053 |       0.00000 |      -2.50519 |       1.45739 |     213.67688 |     202.34140 | 
     -0.25622 |       0.00296 |       0.00162 |       0.00000 |      -2.58476 |       1.45150 |     213.83160 |     202.49612 | 
     -0.24979 |       0.00220 |       0.00283 |       0.00000 |      -2.65604 |       1.43833 |     213.93880 |     202.60332 | 
     -0.24481 |       0.00200 |       0.00404 |       0.00000 |      -2.70433 |       1.41938 |     213.99803 |     202.66255 | 
     -0.24261 |       0.00233 |       0.00511 |       0.00000 |      -2.72448 |       1.39613 |     214.01135 |     202.67587 | 
     -0.24257 |       0.00304 |       0.00587 |       0.00000 |      -2.72344 |       1.37276 |     213.98978 |     202.65430 | 
     -0.24395 |       0.00392 |       0.00644 |       0.00000 |      -2.71086 |       1.34600 |     213.93927 |     202.60379 | 
     -0.24568 |       0.00497 |       0.00670 |       0.00000 |      -2.69637 |       1.32125 |     213.87819 |     202.54271 | 
     -0.24704 |       0.00594 |       0.00672 |       0.00000 |      -2.68203 |       1.29494 |     213.80589 |     202.47041 | 
     -0.24800 |       0.00692 |       0.00651 |       0.00000 |      -2.67273 |       1.27080 |     213.74020 |     202.40472 | 
     -0.24839 |       0.00770 |       0.00612 |       0.00000 |      -2.66785 |       1.24870 |     213.68721 |     202.35173 | 
     -0.24846 |       0.00822 |       0.00562 |       0.00000 |      -2.66507 |       1.22885 |     213.65236 |     202.31688 | 
     -0.24862 |       0.00859 |       0.00512 |       0.00000 |      -2.66175 |       1.21302 |     213.63992 |     202.30444 | 
     -0.24901 |       0.00870 |       0.00464 |       0.00000 |      -2.65585 |       1.19931 |     213.64635 |     202.31087 | 
     -0.24968 |       0.00861 |       0.00418 |       0.00000 |      -2.64596 |       1.18670 |     213.67264 |     202.33716 | 
     -0.25073 |       0.00830 |       0.00384 |       0.00000 |      -2.63247 |       1.17569 |     213.71599 |     202.38051 | 
     -0.25187 |       0.00786 |       0.00362 |       0.00000 |      -2.61645 |       1.16555 |     213.77119 |     202.43571 | 
