  _elev,_surf |   ailrn,_surf |   ruddr,_surf |   nwhel,steer |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag | 
       -1.00000 |       1.00000 |       0.00837 |       0.00000 |      20.92587 |       0.63851 |      61.36792 |      50.03595 |
       -1.00000 |      -0.99200 |       0.00915 |       0.00000 |      20.76928 |       2.54319 |      61.18410 |      49.85213 |
        1.00000 |      -0.99200 |       0.00814 |       0.00000 |      20.15026 |       0.27396 |      61.01092 |      49.67896 |
       -1.00000 |       1.00000 |       0.00618 |       0.00000 |      21.50032 |      -2.33786 |      60.89753 |      49.56557 |
       -1.00000 |       1.00000 |       0.00713 |       0.00000 |      21.79446 |      -0.50534 |      60.81217 |      49.48022 |
        0.03033 |      -0.99200 |       0.00684 |       0.00000 |      21.26415 |       1.63525 |      60.70101 |      49.36906 |
        1.00000 |      -0.99200 |       0.00471 |       0.00000 |      21.83773 |      -0.68420 |      60.66843 |      49.33649 |
       -1.00000 |       1.00000 |       0.00171 |       0.00000 |      23.94970 |      -2.66825 |      60.69092 |      49.35898 |
       -1.00000 |       1.00000 |       0.00343 |       0.00000 |      24.46612 |      -0.41816 |      60.78098 |      49.44905 |
       -1.00000 |      -0.99200 |       0.00422 |       0.00000 |      23.55209 |       1.30219 |      60.79860 |      49.46667 |
       -0.04513 |      -0.10705 |       0.00455 |       0.00000 |      22.40184 |       0.20637 |      60.81031 |      49.47839 |
       -0.35854 |      -0.14733 |       0.00852 |       0.03630 |      21.86306 |      -0.25390 |      60.82016 |      49.48824 |
       -0.57719 |      -0.12191 |       0.00501 |       0.00000 |      21.39677 |      -0.73513 |      60.82701 |      49.49510 |
       -1.00000 |      -0.14148 |       0.00537 |       0.00000 |      20.64473 |      -1.03285 |      60.83064 |      49.49873 |
        1.00000 |      -0.17582 |       0.00627 |       0.00000 |      19.84107 |      -0.76172 |      60.81466 |      49.48276 |
        1.00000 |      -0.09154 |       0.00568 |       0.00000 |      21.38976 |      -0.45538 |      60.76203 |      49.43013 |
       -1.00000 |      -0.07839 |       0.00414 |       0.00000 |      24.24403 |      -0.68915 |      60.73900 |      49.40710 |
       -1.00000 |       1.00000 |       0.00374 |       0.00000 |      25.38843 |      -0.31820 |      60.78143 |      49.44954 |
       -1.00000 |      -0.09296 |       0.00892 |       0.03630 |      24.94974 |       1.60587 |      60.78355 |      49.45166 |
        1.00000 |      -0.99200 |       0.00530 |       0.00000 |      23.89660 |       1.36945 |      60.72759 |      49.39571 |
        1.00000 |       1.00000 |       0.00468 |       0.00000 |      25.09048 |       0.26030 |      60.74274 |      49.41086 |
       -1.00000 |       1.00000 |       0.00563 |       0.00000 |      27.33120 |       2.32616 |      60.78435 |      49.45248 |
       -1.00000 |      -0.10178 |       0.00675 |       0.00000 |      27.95330 |       4.07691 |      60.76087 |      49.42899 |
       -0.92902 |      -0.07545 |       0.00622 |       0.00000 |      27.19245 |       3.84253 |      60.63125 |      49.29939 |
       -0.07463 |      -0.13259 |       0.00596 |       0.00000 |      25.80764 |       3.49053 |      60.48827 |      49.15641 |
        1.00000 |       1.00000 |       0.00587 |      -0.00000 |      25.19358 |       3.81731 |      60.41078 |      49.07892 |
       -1.00000 |      -0.99200 |       0.00480 |       0.00000 |      26.14692 |       4.50657 |      60.47193 |      49.14008 |
       -1.00000 |       1.00000 |       0.00357 |       0.00000 |      26.10679 |       3.45816 |      60.52221 |      49.19036 |
        0.92086 |       1.00000 |       0.00383 |       0.00000 |      25.52975 |       5.23349 |      60.53616 |      49.20431 |
       -0.15197 |      -0.99200 |       0.00353 |       0.00000 |      26.35172 |       7.14390 |      60.69291 |      49.36107 |
       -1.00000 |      -0.12018 |       0.00154 |       0.00000 |      26.98856 |       6.03955 |      60.89458 |      49.56274 |
       -1.00000 |       1.00000 |       0.00091 |       0.00000 |      26.51610 |       5.77067 |      61.01714 |      49.68530 |
